source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgyFG-UnMhP7hUslveN4AaABAg,comment,1umWTYuFVkY,,False,@hedleythorne,"I really like the look of that Tesl.... wait... no indicator stalks? BYD for me then. (surprised indicators weren't in a sub-menu for the Tesla). Also, not a fan of needlessly minimalistic design to be honest.",0,True
Ugx_pPF0Dj90XYbMlxt4AaABAg,comment,1umWTYuFVkY,,False,@aidenwrenn5342,You don't don't get that musky smell in the Seal.,1,True
Ugxkq7BvO8JB6GOq6Mt4AaABAg,comment,1umWTYuFVkY,,False,@SKorpioNV8,"IS IT ME OR DID SHE JUST START WITH: 
this is such an interesting testicle 
=))))))))))))",0,True
UgyDiWGzianUPEsmpBh4AaABAg,comment,1umWTYuFVkY,,False,@leeg713,"Get my BYD seal 2026 tomorrow. Can't wait! Design version, as I'm not at all interested in AWD or speed. Love the design just as it is :)",0,True
Ugypmj9baVQiJYtRtNV4AaABAg,comment,1umWTYuFVkY,,False,@ocpocporacle9460,High edu. Are so stopid. You help the end of western manufacrures. End of it. And china owns you. Stopid idiots,0,True
UgxuR9XVwuE3vPcsPld4AaABAg,comment,1umWTYuFVkY,,False,@BishBosh23,Ahh musk hating journalists . Clearly the model 3 is better,0,True
UgxB0SN_QYpSFfHrbQF4AaABAg,comment,1umWTYuFVkY,,False,@adinigel,The lack of stalks no longer needs to be a deal breaker...Enhance Autos produce the 'Sexy Stalks',0,True
Ugx4dXk5OZugL0H9lr14AaABAg,comment,1umWTYuFVkY,,False,@outside7,"I was never interested in cars, so give me the robot. 😊",1,True
UgxFDKlga6sNUNsVXaF4AaABAg,comment,1umWTYuFVkY,,False,@belinhobeli9569,"""Feels like driving a robot""

This woman is stupid. Tesla is more sporty and agile on driving and handling. First time i hear someone say this about tesla...And you are driving SR...",0,True
UgysMkL-kEDLTfldP9R4AaABAg,comment,1umWTYuFVkY,,False,@friedrich3311,"I test drove both. The seat in he BYD is too short, could not find a good position. Brakes were also not really good, the Tesla drove nicer and more direct steering. Also Tesla has a way better sound system.",2,True
Ugwep7s-beu6c3lOlwV4AaABAg,comment,1umWTYuFVkY,,False,@4TheExec,"I prefer the Tesla. The interior quality is better, and the ride is better and more quiet. The only issues I wish Tesla would fix is the no stalks for the wiper system, the gear selection on screen and the lack of HUD! Tesla has a better infotainment and software and audio system!",1,True
UgwkK_0kSBg2ad6TR8Z4AaABAg,comment,1umWTYuFVkY,,False,@gw995,I’ve test driven both for my next company car and will be ordering the Tesla. The BYD had on odd glue smell which really put me off.  The charging network for Tesla makes EV ownership so much easier and the model 3 is £5k cheaper in the UK.,2,True
UgzMJ0zUKVCtC4ZGs0F4AaABAg,comment,1umWTYuFVkY,,False,@ssred1878,"The all so amazing Tesla efficiency is only because it's so devoid of any personality and interior, it's kept lightweight and cheap feeling.",1,True
Ugyb60wIrkrJHhVKkLF4AaABAg,comment,1umWTYuFVkY,,False,@uzdik.student,7:28 Can't you do it with voice control?,1,True
Ugwl1O81YgBJHZrL3GZ4AaABAg,comment,1umWTYuFVkY,,False,@MartynWales,The winner for me is the Tesla Supercharger network.,1,True
UgwYDG02FBugdFmEdRx4AaABAg,comment,1umWTYuFVkY,,False,@EVil-ob8in,760 mile round trip completed in my Polestar only charging at Tesla Superchargers. It was also worth taking out the membership for a month for this trip on its own. Supercharger network is brilliant but surely no longer a powerful argument to get a Tesla?,0,True
UgzASkloKvaWZbXu5dB4AaABAg,comment,1umWTYuFVkY,,False,@BruceBrendon,"you had me at ""test-to-call""",0,True
UgxThSwNXG19JdhVWU14AaABAg,comment,1umWTYuFVkY,,False,@Low.Level.Fugazi,"Tesla are now offering after market indicator stalks, which customers can biy for 600 dollars and install themselves free of cost.",0,True
Ugz_rIxujk5yn1HWo3F4AaABAg,comment,1umWTYuFVkY,,False,@pohaa,"Sounds like you say ""Interesting testicle"" at the start. LOL",0,True
UgwnDx5gBllcq4yBqA54AaABAg,comment,1umWTYuFVkY,,False,@furefure6544,Seal ride quality is incomparable to the MY . Its such a pleasure to drive the seal,1,True
UgyCB8JJOrysLHZ80xF4AaABAg,comment,1umWTYuFVkY,,False,@williamshaneblyth,BYD works on a tesla super charger I know i plug mine in locally,0,True
UgwMdlFdhemFU0KkBh14AaABAg,comment,1umWTYuFVkY,,False,@sjv9147s,"It really depends on what the topmost metrics mean for the prospective buyer and what is or isn't a deal-breaker.  Price, safety, range, comfort-level, quality & period of warranties, resale value, the car brand's long-term commitment, etc.",0,True
Ugw-3xtcCc5Ej7MyocR4AaABAg,comment,1umWTYuFVkY,,False,@Figjamxlaststar,"The killer for BYD in Europe/UK is the Chinese Tarif they have to wear. Here in Australia BYD Is considerably cheaper than Tesla. Mind
You they have just increased the price on the Performance model. But the standard premium is only $54kau drive away. It’s a massive amount of car for the money and drives amazingly! The new 25y model also now has adaptive dampeners now and it’s a very solid ride. Love our Seal!",0,True
Ugx272tZLMvZAI8EIit4AaABAg,comment,1umWTYuFVkY,,False,@jlp-mtb1391,The stalk is for 👨🏼‍🦳,0,True
Ugw9T4p8CkcLcywjxzJ4AaABAg,comment,1umWTYuFVkY,,False,@dsynergist,Why no one is talking about the Tesla autopilot and no pilot on BYD,0,True
Ugw9T4p8CkcLcywjxzJ4AaABAg.AGOXdvdO-q-AGklokzXwD6,comment,1umWTYuFVkY,Ugw9T4p8CkcLcywjxzJ4AaABAg,True,@baukejankamstra5979,maybe because teslas autopilot suddenly started to kill people?... either that or they forgot..,0,True
Ugw9T4p8CkcLcywjxzJ4AaABAg.AGOXdvdO-q-AL1l1FGAIK4,comment,1umWTYuFVkY,Ugw9T4p8CkcLcywjxzJ4AaABAg,True,@oliverronquillo1971,​@baukejankamstra5979maybe you should watch the latest ADAS test showing your  adverse EDS. While Tesla failed only one test the rest failed at least 3 and BYD failed 4 out of 5 seeing it broke down doing during the 5th test so it couldn't even do the 6th.,1,True
Ugzx3QcSrvOH0JX8l1F4AaABAg,comment,1umWTYuFVkY,,False,@esm7708,"On my company car lease for 20k/yr (I do a lot miles) the Seal is £470 a month whilst the model 3 is £620. The top spec Seal is £490.

No brainer.",0,True
UgwaW4MCZOG7CE-pAqp4AaABAg,comment,1umWTYuFVkY,,False,@Novice2Nature,An interesting test-to-call was all I heard,0,True
UgzXlLuVpkaCw5Oghl94AaABAg,comment,1umWTYuFVkY,,False,@Alex_French,"Musk owns tesla, so byd all the way, that guy so wrong in so many ways.",0,True
Ugwx8LrNAQo0ECqFWph4AaABAg,comment,1umWTYuFVkY,,False,@robertThomas-w5y,clip knee on screen well I seriously doubt it but there are some folk out there who are 8 feet tall I suppose LOL,0,True
UgyREp86h71ZbdOCAF54AaABAg,comment,1umWTYuFVkY,,False,@lavramop,Lesbians have never made the right choice,0,True
UgwXHBVl-5Sy7_6ToIF4AaABAg,comment,1umWTYuFVkY,,False,@gerry5134,On the tesla put a small red dot next to the right indicator button;  problem solved !,0,True
UgzyNIk6Ym0rk4DZY1x4AaABAg,comment,1umWTYuFVkY,,False,@XY123_77,What I like the most about a physical gear selector is: You don´t have to LOOK AT IT whenever you want to use it. The model 3 should be banned from the EU for this. Same for the indicator stick. So stupid. Besides the question if it is a good idea to buy a car from a company that only has few service station or from a company whos owner is is just.... it is clear for me: The Seal is simply the better car.,0,True
UgyTmN4f6TN8quBX9nt4AaABAg,comment,1umWTYuFVkY,,False,@bobble1476,err did i just here testical right at the beginning😂😂😂😂😂😂😂😂😂😂😂😂😂😂 excellent😂😂😂😂😂😂 my beer just went everywhere😂😂😂😂😂😂,1,True
Ugx4KEWbkwDvQdgKSWx4AaABAg,comment,1umWTYuFVkY,,False,@alwaysallblacks,"I'm not a Tesla fanboy in the slightest. But if you cannot find a single thing to like about the second most sold vehicle in the UK, and one that other car reviewers talk pleasantly about, then I think you might be in the wrong job or hoping for clout.",2,True
Ugy6JeabfX-PjxuA8l94AaABAg,comment,1umWTYuFVkY,,False,@Mrsmith1314,why supercharge is + on Tesla? the BYD can u se that to. Its not something what is just tesla can use.,0,True
UgxpCnY7hOxBcIWdhkR4AaABAg,comment,1umWTYuFVkY,,False,@fido5067,You can't be serious in choosing that Chinese peace of junk over the model 3?,0,True
UgwYrNgRacOVi45kls14AaABAg,comment,1umWTYuFVkY,,False,@James-BB70,"As demonstrated here, BYD is better in almost every way, push off Tesla!! I've driven a Seal and it was a faultless drive 🤩",0,True
UgwQd0aQ3uXFpouYY1R4AaABAg,comment,1umWTYuFVkY,,False,@SandroGrafSoni,"We just bought an M3 AWD. BYD just started selling in Switzerland. I like the minimalistic design of the Tesla. Coming from a VW BEV, I love how the tech works. Let me rephrase: it just works!  That's so rewarding after the VW experience. Plus, I find the Tesla super comfortable, and it was simply the best deal for the money. The Seal is substantially more expensive here.",0,True
UgzzSW-OeGrjro_gUOV4AaABAg,comment,1umWTYuFVkY,,False,@jamesdawson3123,"Tesla say minimalism,  i say cost cutting to the point of almost being dangerous to drive with the frequency you have to take your eyes off the road and the lack of parking sensors was a big No!! For me.",4,True
Ugzrk8byCJISH8D4U494AaABAg,comment,1umWTYuFVkY,,False,@gavinbillington7193,"Not sure if you noticed this during the test drive of the seal, I did yesterday on my second test drive trying to decide between this and the IONIC 6, I accidently whilst trying to lean forward to pick up a sweet which i put on the charging pad for safe keeping managed to knock the car out of drive at 25mph, why is this possible, i can do it in the tesla m3 we have but i can in the seal, not sure if it would go all the way to R but this needs to be addressed in an update where you cant change drive mode when going over say +_5 mph",1,True
UgwSohl4udQBqqG129R4AaABAg,comment,1umWTYuFVkY,,False,@devendraphadke6944,It takes lot of money to innovate. And it takes very little money to copy and make changes using cheap forced labor. Stop prompting IP theft. Stop promoting forced labor and zero freedom countries.,0,True
Ugy31qH1ylfsKOr5KSF4AaABAg,comment,1umWTYuFVkY,,False,@TheRealThunderTurtle,Interesting testicle.,1,True
Ugy31qH1ylfsKOr5KSF4AaABAg.AB6txms9U6bABzwMQatn4p,comment,1umWTYuFVkY,Ugy31qH1ylfsKOr5KSF4AaABAg,True,@James-BB70,Well spotted 🤣,0,True
UgzCs4BBsAFw2AG5Bfh4AaABAg,comment,1umWTYuFVkY,,False,@michelebm,No way the BYD is better designed...,0,True
Ugwm52Fe4DwCPeHPrxZ4AaABAg,comment,1umWTYuFVkY,,False,@JackKing12,Tesla too minimalistic...no indicator stork 😢,2,True
Ugyo23Hhk-7xaQfNIcJ4AaABAg,comment,1umWTYuFVkY,,False,@Exciteddelirium1,Wrong.,0,True
UgxhZBaEtpDYGnAIePl4AaABAg,comment,1umWTYuFVkY,,False,@mikaelorsteinsson1097,"It literally takes 2 minutes to get used to the gearshifting in the Tesla, and you get used to the turn buttons. And I think the Tesla looks a lot simpler and better, the range and infrastructure is also better.",3,True
UgxhZBaEtpDYGnAIePl4AaABAg.AA4CJvPbo1QAA4DP6g9qiM,comment,1umWTYuFVkY,UgxhZBaEtpDYGnAIePl4AaABAg,True,@mikaelorsteinsson1097,"I tried the Ioniq6, Seal and P2 and the Tesla won me straight away. By FAAAR the best technical system, less cluster and the most simple to use. The Seal, Ioniq and P2 are also more expensive and more expensive to run. The new Tesla is also quiet and the suspension is great.",0,True
UgwxcybQWaYx7yuEvbx4AaABAg,comment,1umWTYuFVkY,,False,@nikhiljadhav157,On PCP finance in UK in Oct 2024 I can see the byd seal is cheaper than model 3. I just booked it. Was a no brainer.,0,True
UgyGQtuyrq8tTIZnD614AaABAg,comment,1umWTYuFVkY,,False,@K.L.A.S,"Going around hunting for cars the other day. First I went to this Tesla. And sat in model y and the model 3 for a little bit trying to figure out how much I like it it was really nice adding to the fact that I've always said Tesla it that car I wanna get next over anything else (ever since this model 3 came out). Was convinced I was gonna get the model y

Then I walked around the corner to the BYD showroom. First I sat in the Atto 3, then the seal. I forgot about the Tesla. I'm now driving my Atto 3",3,True
Ugzb0au5zSOQcrW8cMl4AaABAg,comment,1umWTYuFVkY,,False,@Karl-Benny,Great review,1,True
UgyAPHL2jku72OSbmSV4AaABAg,comment,1umWTYuFVkY,,False,@magnuslemhage1133,😀😀😀👍,1,True
UgysE-5NI4pLtt5VAu14AaABAg,comment,1umWTYuFVkY,,False,@telmo6777,"BYD Seal is an amazing car and is much better than de Model 3, BYD Seal 2025 version is even better!",2,True
UgzkcwQ6QzlmRcay7c54AaABAg,comment,1umWTYuFVkY,,False,@Buttercookiesssss,I would get BYD seal dynamic if the price is cheaper than Tesla 3 RWD where i am 😢 yes its costs more! About usd 9k,1,True
UgxFtzV2V2jwrkjo_Xx4AaABAg,comment,1umWTYuFVkY,,False,@jamesdawson3123,"Great,  now i have a tough decision to make, do i cancel my M3 order and get a seal🤷‍♂️
I need to stop watching YouTube 😂
Edit: test drove a seal today, what a car, the comfort, speed and build quality Wow!! I was blown away.
Seal performance now ordered,  Tesla order cancelled😊",2,True
UgxjnhA3ZJDaTAJpu5Z4AaABAg,comment,1umWTYuFVkY,,False,@BhupendraBabuItani,So Much Love From Nepal 🇳🇵🇳🇵,1,True
UgwgnkDMJEkjkYXPjAx4AaABAg,comment,1umWTYuFVkY,,False,@kmatias333,I wanted to like the seal. But it doesn't come close to Model 3 driving wise,3,True
UgyGZxPuRkjAhfkGDXV4AaABAg,comment,1umWTYuFVkY,,False,@soulofnature6537,🤩🤩As always i would get a car that is 10k+ cheaper,2,True
UgyM1LqhuPhz3XO5aXx4AaABAg,comment,1umWTYuFVkY,,False,@smash_27,I have seen many Chinese EV cars have voice commands without needing to use the monitor while driving,1,True
UgwSfD4y_vivMjjHpYZ4AaABAg,comment,1umWTYuFVkY,,False,@smash_27,"just want to know if the monitor malfunction, blackout or blackout, how are we going to put the car in P or D for Tesla?",2,True
UgwCb5V9Ck_rNEZNWVt4AaABAg,comment,1umWTYuFVkY,,False,@paddylee8434,BYD is best night and day difference,0,True
Ugxr2Vrs2jnF01oqxa94AaABAg,comment,1umWTYuFVkY,,False,@ROBNOB9X,"I love that in the 1st 3 seconds of the video you started with ""this is such an interesting testicle"" 😂",0,True
UgyDxfU4VQL8D4gycP14AaABAg,comment,1umWTYuFVkY,,False,@RayW-x3y,"TBH, this might be the best car review video I've ever watched on YouTube ever",1,True
UgxLA-AzguKawFjts5Z4AaABAg,comment,1umWTYuFVkY,,False,@mishumihai223,"Weird and anoying on the Tesla Model 3 is that the little pillar of the back doors is black, but the A, B and C pillars are white.",0,True
UgwbrtPzR1c-5EAKq7d4AaABAg,comment,1umWTYuFVkY,,False,@Zorus_1,My family has a mercadies,0,True
UgxnaMYwomduyM5p48Z4AaABAg,comment,1umWTYuFVkY,,False,@michaelvoong,"Went to the BYD test drive event in Uxbridge to try the Seal Excellence. Looks good on the outside but the driving dynamics isn't as good as the new Model 3 LR. The UI looks like it's been designed by a software engineer rather than a visual designer. The Tesla UI is pixel perfect and modern looking.

Tesla vs BYD is like Apple iOS vs Android back in the day. Android caught up, but for now, clunky and unrefined.",3,True
UgxQOkke5-ffdtEFdnh4AaABAg,comment,1umWTYuFVkY,,False,@influentialnobody8960,10 byd dealerships burned down in China and 1 man ded cuz he got electrocuted. Enough said about byd,0,True
Ugxbo02VwnZpjWJWNap4AaABAg,comment,1umWTYuFVkY,,False,@yiftach1975,tesla model 3 highland best car ever,1,True
UgyqOT2mCWLUkOa0FPJ4AaABAg,comment,1umWTYuFVkY,,False,@PH61a,I prefer the minimalistic interior of the Tesla far over the Seal's. I'm going to buy an EV in the next few months and - even though the BYD seems to be a good and good looking EV - it's not an option for me. So far Tesla is my favourite option (by far). Fun to see that this is one of the few videos where the Seal 'wins' from the Tesla Model 3.,2,True
UgxGb4V2s4TzKjwOs0l4AaABAg,comment,1umWTYuFVkY,,False,@aussie0734,I've got the BYD seal and didn't get the same feeling driving the tesla. The odd bits that people may find funny in a tesla like fort noises etc are not worth the extra cost of the car. The byd still feels like a car where as the tesla feels like you're driving a box with a wheel. There is just nothing to it.,0,True
UgxNGP7y3Z5jhVs62XZ4AaABAg,comment,1umWTYuFVkY,,False,@bananarepublic8951,TESLA IS cheapie everything on screen,0,True
UgxbKIWf8rEEnCHo_tN4AaABAg,comment,1umWTYuFVkY,,False,@capsytb,"BYD software is garbage, it even has an option for AC auto off when we switch to reverse so that fumes from the tail pipe don't get in. Yes, this is actually true, it's an ICE vehicle with batteries! 😂😂😂",1,True
Ugw1tHmj4qt0rNTNlt14AaABAg,comment,1umWTYuFVkY,,False,@dresshabt981,Great review !! I drove the new Tesla model 3 and touch buttons for turn signal are annoying and makes you to think twice to figure out which direction the signal needs to blink. Better to have the previous stalk version which doesn't require to think twice for a simple action. Also agree 100 % Tesla need the HUD display for easy speed look.,0,True
UgwO46E7fibnlmF_FJJ4AaABAg,comment,1umWTYuFVkY,,False,@1989yassoo,BYD is better hands down,0,True
Ugzy2QjOyU0BzQEG9Rx4AaABAg,comment,1umWTYuFVkY,,False,@tc88888888,Seal is 30% cheaper to buy than a model 3. Not sure they are true competitors,0,True
UgyR5T4zJvJ9V-OnK-54AaABAg,comment,1umWTYuFVkY,,False,@Christian-cy2pn,"Test drove seal 4x4 and realy liked it. The first thing i noticed was how silent it was, how it floated over bumps. I didnt like all the warning sounds,heard you can turn them off. The torque was surprisingly soft l,but not that it matter much. In norway we can get an launch offer at the 4x4 excellence for about 42k $ and its a steal in my opinion. Liked model 3 as well, but in Norway its not working well,so it will be Seal for me, no doubt at all.",0,True
UgwLrnZ2JR5VdoJ7vJ94AaABAg,comment,1umWTYuFVkY,,False,@markrozee,"If you like your democratic freedom,  then don't buy cars like the BYD😢",1,True
Ugxb-STmxZpCwclN-nN4AaABAg,comment,1umWTYuFVkY,,False,@biocalicoe,"I wouldn't go so easily with the BYD. 
I mean, I love the looks, interior and ergonomics of the BYD rather than the Tesla.
But I have watched other tests, some of them driven by actual engineers and test drivers and the BYD, even the AWD, is much focused on comfort rather than road handling.
Also, the software in the Tesla is years ahead of the BYD. Some people say that this can be fixed, however the BYD is using regular Android, which I think will limit its capability to be updated in the future (note, this is not Android Automotive, whoever who has owned an Honda will know what and Android system works).
Nevertheless, ADAS are much worse than a Tesla or any other major brand. Have you tried to disable the speed alarm? In the Tesla is just one touch, in the BYD you have to dive into 3 menus. And you have to do this every time you start the car.
The battery is bigger but the car is less efficient and the range is aligned with a Model 3 SR (and much lower than a LR).
And I have questions about how the APP works. This is something crucial in EVs to control charge and pre-climate and the Tesla APP works smoothly.
On the other hand, the BYD has a radar, camera, a proper rain sensor and parking sensors. Not so cool as the Tesla Vision but should work better is everything is calibrated properly.

I mean, I love and hate both cars. Both have good arguments to buy and to discard them. Just disagreeing in a so categoric answer.
Maybe if Tesla creates a sub-brand with ""normal"" designs and ergonomics...",0,True
UgwVNbc77jMAobJJBC14AaABAg,comment,1umWTYuFVkY,,False,@hfjejhfjdjej,"📺 zero screens, give me buttons",0,True
UgxeEx95Ah1wnErUHi94AaABAg,comment,1umWTYuFVkY,,False,@jimross623,You start this video with “This is such an interesting test to call”… or perhaps it was “This is such an interesting testicle”… hard to tell sometimes.,0,True
UgxeEx95Ah1wnErUHi94AaABAg.A2RCxKaai8UA2RDbjQ1gup,comment,1umWTYuFVkY,UgxeEx95Ah1wnErUHi94AaABAg,True,@jimross623,Not like Ginny to talk bollocks is it?,0,True
UgwNHKgx0Aa28fN6fw14AaABAg,comment,1umWTYuFVkY,,False,@steinmar2,The BYD does not have a 800V battery architecture,1,True
