serial_no,video_id,text,clean_text,entities,keywords,sentiment_score,sentiment
1,iueGI4CzP-0,"My mother uses a sunshade, she also has that buttons, you know the sexy buttons it’s a cool feature. It’s really goddamn cool feature to have. 
Just imagine that you can control the lights more than you can just imagine adding shortcut buttons anywhere in the car","My mother uses a sunshade, she also has that buttons, you know the sexy buttons it’s a cool feature. It’s really goddamn cool feature to have. Just imagine that you can control the lights more than you can just imagine adding shortcut buttons anywhere in the car",[],"['just imagine', 'buttons', 'imagine', 'feature', 'cool']",0.5974,Positive
2,iueGI4CzP-0,"I own it, couldn’t be happier.","I own it, couldn’t be happier.",[],['couldn'],0.5267,Positive
3,iueGI4CzP-0,"2 Years later and this is the car i've got my eye on to buy next year when it hits 3 years old.  The 2024 model.  With the new battery chemistry, i think I'm going to find the highest milage one i can find and get a great deal on it.","2 Years later and this is the car i've got my eye on to buy next year when it hits 3 years old. The 2024 model. With the new battery chemistry, i think I'm going to find the highest milage one i can find and get a great deal on it.",[],"['years', 'highest', 'hits', 'new battery', 'eye']",0.6249,Positive
4,iueGI4CzP-0,how it feels watching in the back of my dads tesla model 3 while going to practice,how it feels watching in the back of my dads tesla model 3 while going to practice,[],"['dads', 'model going', 'watching', 'feels', 'tesla model']",0.0,Neutral
5,iueGI4CzP-0,Wtf you have to do PRNDL on a screen? I will never understand that and never get this car,Wtf you have to do PRNDL on a screen? I will never understand that and never get this car,[],"['wtf', 'prndl', 'understand', 'screen', 'car']",-0.5859,Negative
6,iueGI4CzP-0,Check his vibe change in the vid that came out 2026.  Such a lemming,Check his vibe change in the vid that came out 2026. Such a lemming,[],"['vibe', '2026', 'vid', 'came', 'check']",0.0,Neutral
7,iueGI4CzP-0,THERE A NO PHYSICAL CONTROLS OR NOBS TO TURN. THATS A BIG TURN OFF. NO SIR,THERE A NO PHYSICAL CONTROLS OR NOBS TO TURN. THATS A BIG TURN OFF. NO SIR,[],"['turn', 'physical controls', 'sir', 'thats', 'physical']",-0.5267,Negative
8,iueGI4CzP-0,"DEI !!! This video is all about the DEI !! (listen to that in Trump's voice, and yes, like this comment if you get the reference).","DEI !!! This video is all about the DEI !! (listen to that in Trump's voice, and yes, like this comment if you get the reference).","['DEI', 'Trump']","['dei', 'listen', 'trump', 'voice', 'reference']",0.7482,Positive
9,iueGI4CzP-0,Who else is watching this in 2025? ??,Who else is watching this in 2025? ??,[],"['2025', 'watching']",0.0,Neutral
10,iueGI4CzP-0,great review.  btw...the paint on teslas SUCK. Extremely soft.,great review. btw...the paint on teslas SUCK. Extremely soft.,[],"['soft', 'suck', 'extremely', 'btw', 'paint']",0.1197,Positive
11,iueGI4CzP-0,i really want one but the price is still out of my affordability .,i really want one but the price is still out of my affordability .,[],"['affordability', 'really want', 'price', 'want', 'really']",0.0763,Positive
12,iueGI4CzP-0,I have drive this since July and its great. A bang for the euro I would say.,I have drive this since July and its great. A bang for the euro I would say.,[],"['july', 'bang', 'euro', 'say', 'drive']",0.6249,Positive
13,iueGI4CzP-0,"I just bought a new one from Shenzhen China, the new refined model 3 has a turn signal stalk back and  a new front bumper camera.","I just bought a new one from Shenzhen China, the new refined model 3 has a turn signal stalk back and a new front bumper camera.","['Shenzhen', 'China']","['new', 'model turn', 'new bumper', 'refined', 'bumper camera']",0.0,Neutral
14,iueGI4CzP-0,Tesla car are pieace of 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩🥹💩🥹💩🥹💩🥹. I just got sold my 2 yrs and way to many problems don’t buy a tesla,Tesla car are pieace of 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩🥹💩🥹💩🥹💩🥹. I just got sold my 2 yrs and way to many problems don’t buy a tesla,[],"['don buy', 'tesla car', 'problems', 'sold', 'just got']",-0.4019,Negative
15,iueGI4CzP-0,It’s an excellent car!! I got one haven’t had any issues 17k miles on it now it’s fast comfortable 0-60 4.2 secs AWD long range!! 330-340 miles of range roughly buy one I highly recommend it 😁😁,It’s an excellent car!! I got one haven’t had any issues 17k miles on it now it’s fast comfortable 0-60 4.2 secs AWD long range!! 330-340 miles of range roughly buy one I highly recommend it 😁😁,['AWD'],"['miles', 'range', 'awd long', '330 340', 'highly recommend']",0.9514,Positive
16,iueGI4CzP-0,"Pretty solid breakdown in this video. As a Tesla Model Y owner, I’m always weighing space versus utility, and the WildbearX looks like it would fit in the trunk without hogging too much room. That’s honestly one of my main concerns with coolers since road trips already eat up a lot of cargo space. Nice to see something that seems more compact but still holds up decently well.","Pretty solid breakdown in this video. As a Tesla Model Y owner, I’m always weighing space versus utility, and the WildbearX looks like it would fit in the trunk without hogging too much room. That’s honestly one of my main concerns with coolers since road trips already eat up a lot of cargo space. Nice to see something that seems more compact but still holds up decently well.",[],"['space', 'compact', 'breakdown', 'road trips', 'utility']",0.81,Positive
17,iueGI4CzP-0,Its funny that they put extra screen for back but no screen for drivers. Also removing Stalks is like 😂 good to hear that its quality updated.,Its funny that they put extra screen for back but no screen for drivers. Also removing Stalks is like 😂 good to hear that its quality updated.,[],"['screen', 'good hear', 'removing stalks', 'stalks like', 'like good']",0.8779,Positive
18,iueGI4CzP-0,I bought this new 2025 model 3 long range dual motor and it has been the nicest car ever he didn’t even talk about the full self driving that it has. But that is my favorite feature I can summon my car and it’s smart enough now to take turns use signals and make its way to find me so I don’t need to get my car anymore it also can drive me from point a completely to point b WITH NO INTERVENTION. It has come a long way and this is for sure going to be their new flagship. It’s for sure the nicest car I’ve ever seen. It feels like ai driving your car and with grok mode now integrated your car is an actual robot now!,I bought this new 2025 model 3 long range dual motor and it has been the nicest car ever he didn’t even talk about the full self driving that it has. But that is my favorite feature I can summon my car and it’s smart enough now to take turns use signals and make its way to find me so I don’t need to get my car anymore it also can drive me from point a completely to point b WITH NO INTERVENTION. It has come a long way and this is for sure going to be their new flagship. It’s for sure the nicest car I’ve ever seen. It feels like ai driving your car and with grok mode now integrated your car is an actual robot now!,[],"['car', 'point', 'sure', 'long', 'way']",0.9642,Positive
19,iueGI4CzP-0,MY dream car right now. I am 17 should i buy loan or lease the car? I have 10k euro saving,MY dream car right now. I am 17 should i buy loan or lease the car? I have 10k euro saving,[],"['car right', '17', 'euro', 'dream car', 'saving']",0.25,Positive
20,iueGI4CzP-0,Any plans to review the 2025/2026 Model Y “Juniper” Refresh?,Any plans to review the 2025/2026 Model Y “Juniper” Refresh?,[],"['plans', 'model juniper', 'juniper', '2026', '2025']",0.0,Neutral
