source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgxmOs7OWoJrXd4VOpt4AaABAg,comment,bEH5gDiESRg,,False,@carwow,"Our video editor made a mistake with this one, and the original verdict didn’t reflect Mat’s actual thoughts on these cars. We’ve now updated the video to show the correct winner of the test — the Tesla Model Y.

That said, the BYD is still a strong contender! It was a really close comparison, and if you’re after something a bit different from the norm, it could still be the perfect choice for you.

Apologies to Mat — and to all of you — for the confusion and for making this change after the video went live. Thanks for bearing with us!",533,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH49OgCxGQt,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@markplott4820,"NO, you & your presenter LIED. and that is a CRIME. 
this video was only an AD for BYD , an inferior car.
Matt's opinions Dont actually matter.
what MATTERS is the model Y was #1 CAR in 2023 & 2024.
TESLA model Y, is on track to be #1 AGAIN in 2025. 
Factually , TESLA model Y, is the BENCHMARK.",738,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH49iZ5D0E6,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@markplott4820,"NO, Factually BYD sealion is NOT even a Contender in CHYNA or anywhere else. 
BYD sealion is NOT EVEN DAMN CLOSE, its a way CHEAPER car w/ way LESS high tech than TESLA model Y.",331,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH49u7bnI4z,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@tuejohansen,"Wow, that's really embarrassing. Carwow lied for political reasons",645,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4B5SbA9sO,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@Light-rh5pc,Cheap and very sad action of doing that. Maybe make a proper review would help. You could even see from the mirror settings what the come out is going to be,224,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4BO7ADu1B,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@zeppelincoffee6280,"So you get caught in a lie, then change the video, then blame the editor? Got it. Credibility torched—unsubscribed. 🔥",471,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4BQKmXOhG,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@sardar1982,Wtaf guys. This is confusing as hell. Really poor standards on show here.,244,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4BtLeLn_9,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@Noel_Jacob,nice,13,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4Cw5YoB4Q,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@jsk8rulz,What a load of BS - credibility is gone,295,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4DDnmKz4t,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@keerthivelm7530,Bro is scared of losing access to the Chinese market and is doing all this intentional buffoonery,151,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4DJJVwUUE,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@jeffb7750,CarWoke is now the new name of this channel.,320,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4E6EDA-c3,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@ExplicitFrancis-ur5xe,"Funny how everyone's just hating for no reason...crazyyyyy 
It's a YouTube car channel guys, chill",1,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4EGm7gKL6,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@ExplicitFrancis-ur5xe,"Aslong as the content is interesting and informative, what else is there to really be caring so much about 
#1 carwow 🤭😤",1,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4EnkDPJZo,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@axiomic,@carwow  What a load of 💩,166,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4FCsanift,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@DUNCK14,"😂 you're adding a lie upon a lie. Matt verbatim in the original video ""also, its good not to be a sheep"" referring to the tesla. How can you possibly try spin that to blame the editor? A decade to build a reputation, 24 hours to lose it. For what reason?",280,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4FYdLLlaZ,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@brubakers,Wierd wierd...,60,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4HlvZ9g8F,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@jcsrb,"@ settle down, Elon bootlicker. What are those sales at right now?",21,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4IoRLdIdt,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@axiomic,"lol sorry, too late, unsubscribed. 😂",117,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4Iz29vt_f,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@MB34756,you lied like mark rober did. i hope you get sued.,128,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4J-6QbbZc,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@axiomic,📺🐑🐑🐑🐑🐑🐑🐑🐑,26,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4JpLM9Jab,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@pg3177g,Blaming the editor is wild 🤣🤣🤣🤣,170,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4KWxj-8i1,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@jaker3151,"@markplott4820 Chill out dude, the BYD is not an ""inferior car"". Both EVs are a decent choice. The BYD does have features which some people might prefer over the Tesla and vice versa.",27,True
UgxmOs7OWoJrXd4VOpt4AaABAg.AH48CwLD_HmAH4L5TC7ilG,comment,bEH5gDiESRg,UgxmOs7OWoJrXd4VOpt4AaABAg,True,@DUNCK14,"You've just edited the ending again for a third time haven't you 😂. First edit: BYD wins. 2nd edit: tesla wins (but editing was so obviously a fake job) therefore current edit:  fuck it, just cut the VT before we get to the end 😂. Hilarious and embarrassing carwow!",144,True
