source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public,clean_text,entities,sentiment_score,sentiment,keywords,chunk_index,start_time,noun_phrases
UgzjI6TjvTQiaNdFJDh4AaABAg,comment,Y8yTY_7w3KA,,False,@autogefuehl,"Note that contrary to the first info and contrary to how they sold the vehicle to customers, the BYD Seal does come with animal skin leather. Customers bought the vehicle expecting animal free leatherette while BYD did not offer consistent information.

00:00 BYD Seal comes to Germany
01:29 Outside EV horrer sound
01:57 Length, battery kWh and recharging
02:35 Sporty design, RWD vs AWD
03:00 Blade battery and frunk
03:29 Interior: key, doors, steering
04:19 Seats and comfort
05:06 Cockpit overview and interface
06:53 Storage
07:19 Rear seating
08:48 Trunk / boot
09:40 City driving and chime
11:11 Steering feel and recuperation
13:31 Suspension and comfort
14:15 Motorway and acceleration
17:56 Autobahn top speed
19:43 Needs to be fixed
20:17 Can it match the Model 3?
21:40 Economy and real-world range

#BYD #BYDSeal

►Subscribe here: https://www.youtube.com/user/autogefuehl?sub_confirmation=1
►Also subscribe to our YouTube shorts channel: https://www.youtube.com/channel/UCmKVmuPc9wUlLuuhnIeP7_w?sub_confirmation=1
►Follow us on Facebook / Instagram / TikTok @autogefuehl",57.0,True,"Note that contrary to the first info and contrary to how they sold the vehicle to customers, the BYD Seal does come with animal skin leather. Customers bought the vehicle expecting animal free leatherette while BYD did not offer consistent information. 00:00 BYD Seal comes to Germany 01:29 Outside EV horrer sound 01:57 Length, battery kWh and recharging 02:35 Sporty design, RWD vs AWD 03:00 Blade battery and frunk 03:29 Interior: key, doors, steering 04:19 Seats and comfort 05:06 Cockpit overview and interface 06:53 Storage 07:19 Rear seating 08:48 Trunk / boot 09:40 City driving and chime 11:11 Steering feel and recuperation 13:31 Suspension and comfort 14:15 Motorway and acceleration 17:56 Autobahn top speed 19:43 Needs to be fixed 20:17 Can it match the Model 3? 21:40 Economy and real-world range BYD BYDSeal ►Subscribe here: ►Also subscribe to our YouTube shorts channel: ►Follow us on Facebook / Instagram / TikTok","['BYD', 'Germany', '02:35 Sporty', 'RWD', 'AWD', '04:19 Seats', '09:40 City', '19:43 Needs', 'the Model 3', 'YouTube', 'Facebook / Instagram / TikTok']",0.8442,Positive,"['byd', 'comfort', 'contrary', '29', 'steering']",,,
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9vp-UsnhkGH,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@Rokii92,"you mean ""horror sound""? :D",0.0,True,"you mean ""horror sound""? :D",[],0.0857,Positive,"['mean', 'sound']",,,
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9vpI9k1jApB,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@Elaba_,Tammy AI is without a job now.,0.0,True,Tammy AI is without a job now.,['Tammy AI'],0.0,Neutral,[],,,
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9vytQZ977iX,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@whatnow9653,"1:29    lolly pops,  cherry pies,  cream puffs,  ice cream,  treacle tarts and all free today.",0.0,True,"1:29 lolly pops, cherry pies, cream puffs, ice cream, treacle tarts and all free today.",[],0.5106,Positive,"['cream', '29', 'ice cream', 'ice', 'free']",,,
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9wBY-12Xroy,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@rondhole,What separate a good and bad BEV is the heat management. Tesla Supermanifold cooling/ Octovalve systems is superior than any BEV available in the market. Nothing is even close.   The reliability is proven very long in all Tesla models compared to other brands.,0.0,True,What separate a good and bad BEV is the heat management. Tesla Supermanifold cooling/ Octovalve systems is superior than any BEV available in the market. Nothing is even close. The reliability is proven very long in all Tesla models compared to other brands.,"['Octovalve', 'Tesla']",0.4404,Positive,"['tesla', 'bad', 'market', 'compared', 'long']",,,
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9x4NCNpcFl3,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@mjw25a1,I take it from your review that the Seal drives better on road.... Particularly on rougher surfaces than the Model 3 Tesla? I don't much care about auto driving/drive assist tech though rather which is better to drive.  :),1.0,True,I take it from your review that the Seal drives better on road.... Particularly on rougher surfaces than the Model 3 Tesla? I don't much care about auto driving/drive assist tech though rather which is better to drive. :),['Seal'],0.7329,Positive,"['drive', 'better', 'road', 'care', 'auto']",,,
Ugx3EZ7zGM03b-BUMz94AaABAg,comment,Y8yTY_7w3KA,,False,@ElectricAdventures-q1p,I could build cheap cars if I used slave labour,0.0,True,I could build cheap cars if I used slave labour,[],0.0,Neutral,"['used', 'build', 'cheap', 'cars']",,,
UgzIccENe5FDLiSz4od4AaABAg,comment,Y8yTY_7w3KA,,False,@ElectricAdventures-q1p,Do the internal cameras and mics constantly record? And does that data get sent back to the manufacturer,0.0,True,Do the internal cameras and mics constantly record? And does that data get sent back to the manufacturer,[],0.0,Neutral,"['constantly', 'does']",,,
UgzMJoPNaZIT3ogzwiB4AaABAg,comment,Y8yTY_7w3KA,,False,@JPSG3,"Europe also was a lot of money, but we prefer to subsidize  war.",0.0,True,"Europe also was a lot of money, but we prefer to subsidize war.",['Europe'],-0.7469,Negative,"['prefer', 'europe', 'money', 'lot']",,,
UgxfIDxJdGUsx8GV8_p4AaABAg,comment,Y8yTY_7w3KA,,False,@tonygeorge6654,BYD is like the Kia lmao..its not all that one I drove suvked,0.0,True,BYD is like the Kia lmao..its not all that one I drove suvked,"['BYD', 'Kia']",-0.4019,Negative,"['drove', 'kia', 'like', 'byd']",,,
