serial_no,video_id,text,clean_text,entities,keywords,sentiment_score,sentiment
1,V0wtNI-rzSg,"Note the crap door handles, sale killer straight away","Note the crap door handles, sale killer straight away",[],"['door handles', 'note', 'handles', 'door', 'sale']",-0.7184,Negative
2,V0wtNI-rzSg,"*In the MY2026, BYD dismissed this feature.","*In the MY2026, BYD dismissed this feature.","['MY2026', 'BYD']","['feature', 'byd']",0.0,Neutral
3,V0wtNI-rzSg,Even better if there were no touchscreens to distract the driver?,Even better if there were no touchscreens to distract the driver?,[],"['distract', 'driver', 'better']",-0.128,Negative
4,V0wtNI-rzSg,So interesting you chose an EV as a daily. That really is a statement to how bad ICE cars are.,So interesting you chose an EV as a daily. That really is a statement to how bad ICE cars are.,[],"['chose', 'statement', 'daily', 'ice', 'interesting']",-0.1298,Negative
5,V0wtNI-rzSg,I don’t care how nice it is it’s a stupid ev,I don’t care how nice it is it’s a stupid ev,[],"['care', 'stupid', 'nice', 'ev', 'don']",0.3818,Positive
6,V0wtNI-rzSg,I’d rather walk,I’d rather walk,[],[],0.0,Neutral
7,V0wtNI-rzSg,They’ve removed this feature from the latest model.,They’ve removed this feature from the latest model.,[],"['latest', 'removed', 've', 'feature', 'model']",0.0,Neutral
8,V0wtNI-rzSg,Every byd has that.,Every byd has that.,[],['byd'],0.0,Neutral
9,V0wtNI-rzSg,All I see there is electric junk on wheels that tries to mimic being a car.,All I see there is electric junk on wheels that tries to mimic being a car.,[],"['junk', 'wheels', 'electric', 'car']",0.0,Neutral
10,V0wtNI-rzSg,Yes Tesla interiors are pathetic,Yes Tesla interiors are pathetic,['Tesla'],"['pathetic', 'interiors', 'yes', 'tesla']",-0.25,Negative
11,V0wtNI-rzSg,"Well WoW, sure everyone is rushing to buy one now...well those who like pointless crap","Well WoW, sure everyone is rushing to buy one now...well those who like pointless crap",['WoW'],"['pointless', 'sure', 'crap', 'wow', 'buy']",0.7964,Positive
12,V0wtNI-rzSg,That feature has been removed in the updated model.,That feature has been removed in the updated model.,[],"['updated', 'removed', 'feature', 'model']",0.0,Neutral
13,V0wtNI-rzSg,Old news. Every car reviewer  does the same.....yawn !!!!,Old news. Every car reviewer does the same.....yawn !!!!,[],"['old news', 'reviewer', 'news', 'old', 'does']",0.0,Neutral
14,V0wtNI-rzSg,Complete gimmick. I’ve used it twice in a year. Main reason being it doesn’t work with CarPlay,Complete gimmick. I’ve used it twice in a year. Main reason being it doesn’t work with CarPlay,['CarPlay'],"['main reason', 'doesn work', 'complete', 'twice', 'main']",0.0,Neutral
15,V0wtNI-rzSg,It’s ugly and it’s stupid and on top of that it’s a Chinese shit,It’s ugly and it’s stupid and on top of that it’s a Chinese shit,['Chinese'],"['chinese shit', 'stupid', 'ugly', 'shit', 'chinese']",-0.8591,Negative
