source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgyI2tFMVx7RKVBwLzN4AaABAg,comment,KAJFALcJjac,,False,@aslye,"*UPDATED VIDEO FOR 2025*: https://youtu.be/XvNc0lEK35o

Sign up for Recurrent to get your free reports on your electric vehicle today: https://bit.ly/3HCiUtp
UPDATE: 1:39 The ""technically correct"" way to close the frunk is to use both hands (on either side of T logo)
Watch next ➡ 10 Features Tesla NEED Before It's Too Late: https://youtu.be/OMSBctWPsPA
🚘 BEST Tesla Accessories: https://geni.us/tm3accs

0:00 Tesla Model 3/Y Guide
0:21 Exterior
4:06 Sponsor (Recurrent)
5:18 Interior Controls
9:01 Touchscreen
18:07 Driving/Autopilot
29:22 Charging
36:55 Mobile App

MUST-HAVE Tesla Accessories:
▶ 10% off Tesla Floor Mats: https://geni.us/uQBj (Use code: ANDYSLYE)
▶ Model 3/Y Screen Protector: https://geni.us/Akha
▶ Wireless Charging Pad/Hub: https://geni.us/Jeda
▶ Console Wrap: https://geni.us/x2AA788 (Use code: ANDYSLYE15)
▶ Magnetic Phone Mount: https://geni.us/xaowi

Tesla Cleaning Tools (Amazon)
▶ Waterless Wash/Wax: https://geni.us/yLqP7w
▶ Interior Cleaner: https://geni.us/uBxyl
▶ Dash Protectant Spray: https://geni.us/XPp9G
▶ Pressure Washer: https://geni.us/ZPDtW

Useful Tesla Accessories:
▶ Spare Tire (Amazon) https://geni.us/BJKK
▶ Replacement Tires: https://geni.us/33Txdp
▶ Frunk Luggage Set: https://geni.us/vwVM
▶ Stats App: https://geni.us/Stats
▶ Geeky Tesla shirts & prints: http://geni.us/SFSF

🎥 My YouTube Camera Gear: http://geni.us/YTgear

Camera Gear I Use (Amazon)
▶ Main Camera: https://geni.us/GH5body
▶ Main Lens: https://geni.us/Lumix1235
▶ 4K Drone: https://geni.us/DJIM2
▶ Gimbal: https://geni.us/sJc7Bb
▶ Tripod: https://geni.us/BJSxkx
▶ Monopod: https://geni.us/mqNjTT
▶ Action Cam: https://geni.us/Hero9
▶ Camera Mount for Tesla: https://geni.us/60zs
▶ Microphone: https://geni.us/mics

⬇ Stay up to date!
YouTube: http://geni.us/AndySlyeYT
Twitter: http://Twitter.com/slye
Instagram: http://instagram.com/slye
Email: andy@mytechmethods.com",79,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWp_1Y3dMz,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@derrenmarcus2014,"Do what everybody else is doing if you are okay with only having what everybody else has.Information that will pay you everyday, you've got to stop saving all your money.
Venture into  investing some, if you really want financial stability.
Choose to grow and elevate your mind by studying audios, videos, attending conferences that will give you the edge!",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWpdD0vcZu,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@thiagosilvano7859,"@derrenmarcus2014 Exactly, money is always eager and ready to work for anyone who is ready to employ it. That is why it’s nice to start up an investment now. I have researched about this bitcoin and I found it profitable.",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWpgpydGN3,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@veronicafarmiga5577,"@thiagosilvano7859 I have been researching all this while for a digital asset investment and I found bitcoin to be the most profiting of them all , I’m definitely bouncing on the opportunity, thank you so much.",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWpl1YA_Qc,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@andysyaputra1787,"I understand the fact that tomorrow isn't promised to anyone, but investing today is a hard thing to do because i have no idea of how and where to invest in these?",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWpog9HK_x,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@debraburrells4780,"@andysyaputra1787 In situations like this,I always recommend to people on getting guidance at least from someone that understands price action and all that while you strive on improving yourself by watching videos and learning fundamental analysis.",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWps6JrPIk,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@marcoarigliani3460,"Lately I’ve been thinking of buying cryptocurrency for retirement, I’ve set asides $350k to invest but along the line,I usually get cold feet, maybe because I  have no idea what I’m doing,",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWpxlDMml8,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@hossammoussa1127,"@marcoarigliani3460 My personal investment manager; Mr Daniel Christopher Downes, after a whole week of research,he runs an investment platform where you don't have to undergo any stress in the trades.",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWq6gr8Xvm,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@marcoarigliani3460,"@hossammoussa1127 Please do you mind sharing any means of reaching out to him easily?, I'm really interested i believe this is genuine.",0,True
UgyI2tFMVx7RKVBwLzN4AaABAg.9k8WsFQ0quR9kWqADpu-Eq,comment,KAJFALcJjac,UgyI2tFMVx7RKVBwLzN4AaABAg,True,@hossammoussa1127,@marcoarigliani3460 Daniel Christopher Downes can be found online through his name as he’s a financial analyst and trading expert  who has shelled out theories and idea for years.,0,True
